,stock,open,high,low,close,volume,vwap,timestamp,transactions
0,SONY,77.15,77.68,76.39,76.65,660630.0,76.7866,2023-01-03 05:00:00,13809
1,SONY,77.99,78.39,77.49,77.8,596412.0,77.947,2023-01-04 05:00:00,13577
2,SONY,77.78,78.115,77.31,77.5,540993.0,77.6747,2023-01-05 05:00:00,12203
3,SONY,79.23,81.64,79.1,81.39,896688.0,80.8119,2023-01-06 05:00:00,22789
4,SONY,81.68,83.34,81.63,82.62,918041.0,82.7863,2023-01-09 05:00:00,17973
5,SONY,81.44,82.16,81.105,82.08,796133.0,81.7549,2023-01-10 05:00:00,16170
6,SONY,83.93,84.5,83.79,84.29,721642.0,84.1721,2023-01-11 05:00:00,13960
7,SONY,84.65,86.15,84.34,86.07,1113130.0,85.5957,2023-01-12 05:00:00,19155
8,SONY,84.19,85.925,84.16,85.75,994466.0,85.4723,2023-01-13 05:00:00,16985
9,SONY,86.28,87.72,86.28,86.76,891004.0,86.9153,2023-01-17 05:00:00,16477
10,SONY,88.0,88.29,86.61,86.68,710272.0,87.3325,2023-01-18 05:00:00,12989
11,SONY,88.28,88.79,87.56,87.97,848632.0,88.0393,2023-01-19 05:00:00,14819
12,SONY,88.4,89.34,88.14,89.29,541089.0,89.0117,2023-01-20 05:00:00,12538
13,SONY,88.13,89.19,88.0,88.91,609833.0,88.8508,2023-01-23 05:00:00,13147
14,SONY,89.01,89.99,88.0,89.31,689977.0,89.3808,2023-01-24 05:00:00,9942
15,SONY,88.96,89.69,88.73,89.55,575742.0,89.2741,2023-01-25 05:00:00,13214
16,SONY,88.9,89.17,88.1,89.13,603942.0,88.7661,2023-01-26 05:00:00,11657
17,SONY,89.48,91.0,89.33,90.61,853925.0,90.4199,2023-01-27 05:00:00,15926
18,SONY,89.29,89.87,89.03,89.33,704619.0,89.4811,2023-01-30 05:00:00,13322
19,SONY,88.9,89.72,88.87,89.46,794103.0,89.3253,2023-01-31 05:00:00,12914
20,SONY,88.89,90.11,88.28,89.55,965402.0,89.1104,2023-02-01 05:00:00,17456
21,SONY,92.0,95.23,91.82,93.8,1614189.0,93.5182,2023-02-02 05:00:00,26575
22,SONY,93.57,94.75,93.02,93.13,1055447.0,93.8569,2023-02-03 05:00:00,20024
23,SONY,90.86,90.87,89.52,90.12,980129.0,89.99,2023-02-06 05:00:00,19335
24,SONY,90.49,91.76,90.13,91.37,924160.0,91.1143,2023-02-07 05:00:00,16329
25,SONY,90.76,91.48,90.22,90.42,662735.0,90.6779,2023-02-08 05:00:00,11624
26,SONY,91.6,92.05,89.99,90.12,473051.0,90.8694,2023-02-09 05:00:00,10121
27,SONY,89.8,90.71,89.693,90.12,509273.0,90.1015,2023-02-10 05:00:00,10848
28,SONY,88.74,89.75,88.4699,89.64,504725.0,89.4206,2023-02-13 05:00:00,11918
29,SONY,89.08,89.68,88.6,89.34,507262.0,89.2397,2023-02-14 05:00:00,11125
30,SONY,87.7,88.44,87.45,88.42,588457.0,88.1291,2023-02-15 05:00:00,12010
31,SONY,87.42,88.38,87.32,87.54,679940.0,87.8617,2023-02-16 05:00:00,14186
32,SONY,85.61,85.61,84.39,85.06,844722.0,85.0068,2023-02-17 05:00:00,16842
33,SONY,83.8,84.19,83.06,83.24,784431.0,83.383,2023-02-21 05:00:00,14126
34,SONY,82.78,82.97,82.27,82.48,429715.0,82.636,2023-02-22 05:00:00,10492
35,SONY,83.14,83.2433,82.04,82.68,573032.0,82.6701,2023-02-23 05:00:00,11684
36,SONY,82.71,83.12,82.132,82.71,868327.0,82.6816,2023-02-24 05:00:00,15587
37,SONY,83.9,84.485,83.34,83.35,716229.0,83.763,2023-02-27 05:00:00,13318
38,SONY,83.68,84.34,83.45,83.58,513362.0,83.8834,2023-02-28 05:00:00,11090
39,SONY,83.9,84.19,83.42,83.63,545719.0,83.8428,2023-03-01 05:00:00,11068
40,SONY,83.03,83.37,82.44,83.34,685633.0,82.9461,2023-03-02 05:00:00,13187
41,SONY,84.27,85.91,84.27,85.74,737381.0,85.3297,2023-03-03 05:00:00,14673
42,SONY,86.81,87.8,86.39,86.53,718838.0,87.1169,2023-03-06 05:00:00,15134
43,SONY,88.28,88.645,87.14,87.26,1191386.0,87.7134,2023-03-07 05:00:00,21704
44,SONY,87.87,88.26,87.58,88.06,620943.0,87.9572,2023-03-08 05:00:00,12532
45,SONY,87.83,88.54,86.35,86.56,607124.0,87.1858,2023-03-09 05:00:00,11260
46,SONY,86.19,86.19,84.34,84.76,896249.0,85.0147,2023-03-10 05:00:00,15213
47,SONY,85.02,86.34,84.45,85.56,798520.0,85.5584,2023-03-13 04:00:00,14819
48,SONY,84.86,85.44,84.58,85.44,715613.0,85.0246,2023-03-14 04:00:00,14271
49,SONY,83.4,83.76,82.36,83.74,694653.0,83.1368,2023-03-15 04:00:00,15718
50,SONY,84.51,86.47,84.21,86.39,873457.0,85.8123,2023-03-16 04:00:00,16387
51,SONY,87.25,87.47,86.18,86.52,815242.0,86.6863,2023-03-17 04:00:00,15085
52,SONY,87.52,89.16,87.33,88.42,1081169.0,88.4891,2023-03-20 04:00:00,18343
53,SONY,89.08,89.7,88.71,89.37,704849.0,89.2151,2023-03-21 04:00:00,14594
54,SONY,88.91,89.0699,87.43,87.44,786051.0,88.162,2023-03-22 04:00:00,12940
55,SONY,88.32,89.415,87.702,88.27,935305.0,88.6711,2023-03-23 04:00:00,13842
56,SONY,88.3,88.43,86.96,87.53,1107318.0,87.4424,2023-03-24 04:00:00,18306
57,SONY,87.12,87.41,86.33,86.64,846780.0,86.806,2023-03-27 04:00:00,10688
58,SONY,86.11,86.6682,85.74,85.82,656159.0,86.0448,2023-03-28 04:00:00,11014
59,SONY,86.93,88.02,86.74,87.87,957203.0,87.4696,2023-03-29 04:00:00,14908
60,SONY,88.7,89.53,88.555,89.31,1178964.0,89.1076,2023-03-30 04:00:00,14775
61,SONY,89.77,90.92,89.75,90.65,1221473.0,90.4385,2023-03-31 04:00:00,14982
62,SONY,90.41,91.38,90.41,91.33,879128.0,90.9238,2023-04-03 04:00:00,15930
63,SONY,90.78,91.145,90.36,91.01,809882.0,90.7933,2023-04-04 04:00:00,13535
64,SONY,89.9,90.02,89.52,89.65,644359.0,89.7181,2023-04-05 04:00:00,12254
65,SONY,88.25,88.335,87.22,88.17,796034.0,88.0536,2023-04-06 04:00:00,15844
66,SONY,87.76,88.52,87.73,88.51,449636.0,88.2381,2023-04-10 04:00:00,9242
67,SONY,89.24,89.49,88.83,88.91,443394.0,89.1427,2023-04-11 04:00:00,9646
68,SONY,90.0,90.4,89.29,89.44,419871.0,89.6723,2023-04-12 04:00:00,9392
69,SONY,90.1,90.83,89.94,90.49,684741.0,90.5023,2023-04-13 04:00:00,11922
70,SONY,90.85,91.46,90.412,90.86,728444.0,90.8677,2023-04-14 04:00:00,14477
71,SONY,90.55,91.23,90.35,91.15,772982.0,90.9304,2023-04-17 04:00:00,14128
72,SONY,91.57,91.86,90.99,91.31,866978.0,91.2503,2023-04-18 04:00:00,13811
73,SONY,91.0,91.12,90.73,90.97,422356.0,90.9293,2023-04-19 04:00:00,9332
74,SONY,90.97,92.275,90.915,91.38,608328.0,91.6428,2023-04-20 04:00:00,12292
75,SONY,91.87,92.38,91.61,92.05,605814.0,92.0352,2023-04-21 04:00:00,11173
76,SONY,91.86,92.03,91.4,91.56,512937.0,91.6294,2023-04-24 04:00:00,10009
77,SONY,91.455,91.8,90.55,90.76,822562.0,90.9465,2023-04-25 04:00:00,13823
78,SONY,92.53,95.04,92.53,93.81,1785277.0,94.1128,2023-04-26 04:00:00,24883
79,SONY,94.06,95.15,93.6825,95.09,1267295.0,94.671,2023-04-27 04:00:00,17178
80,SONY,91.53,91.68,88.55,89.67,2335192.0,89.6052,2023-04-28 04:00:00,36197
81,SONY,92.1,92.51,91.25,92.19,1066866.0,92.1958,2023-05-01 04:00:00,18758
82,SONY,91.14,91.4,90.13,91.36,773001.0,90.869,2023-05-02 04:00:00,15255
83,SONY,91.63,93.18,91.51,92.81,747028.0,92.6306,2023-05-03 04:00:00,12832
84,SONY,92.74,93.4,92.49,92.67,546090.0,92.9353,2023-05-04 04:00:00,11024
85,SONY,93.01,94.0799,92.82,93.86,666658.0,93.4932,2023-05-05 04:00:00,12184
86,SONY,92.27,92.5,91.8,92.44,1028370.0,92.2605,2023-05-08 04:00:00,17156
87,SONY,92.82,94.09,92.82,93.9,866044.0,93.6828,2023-05-09 04:00:00,14541
88,SONY,93.0,93.52,92.395,93.43,755604.0,93.0071,2023-05-10 04:00:00,13977
89,SONY,93.61,93.61,92.6501,93.21,461975.0,93.087,2023-05-11 04:00:00,9878
90,SONY,94.84,95.34,94.3871,94.68,570775.0,94.757,2023-05-12 04:00:00,12262
91,SONY,94.62,95.12,94.573,94.67,538743.0,94.7829,2023-05-15 04:00:00,11530
92,SONY,93.9,94.26,93.54,93.81,504034.0,93.7851,2023-05-16 04:00:00,10885
93,SONY,95.55,95.89,95.01,95.32,922114.0,95.3265,2023-05-17 04:00:00,14069
94,SONY,99.07,99.15,98.3499,98.89,1810118.0,98.8067,2023-05-18 04:00:00,25268
95,SONY,98.06,98.49,97.62,98.01,711445.0,97.978,2023-05-19 04:00:00,13015
96,SONY,98.12,98.49,97.46,97.6,885366.0,97.7713,2023-05-22 04:00:00,13867
97,SONY,95.57,95.57,94.56,94.97,980674.0,95.0146,2023-05-23 04:00:00,16921
98,SONY,94.44,94.94,94.01,94.23,657349.0,94.3051,2023-05-24 04:00:00,13481
99,SONY,95.46,95.55,94.6,95.04,614545.0,94.9806,2023-05-25 04:00:00,13120
100,SONY,95.59,96.63,95.37,95.98,622545.0,96.1629,2023-05-26 04:00:00,13271
101,SONY,96.09,96.22,94.75,94.76,765057.0,95.0752,2023-05-30 04:00:00,14513
102,SONY,94.21,94.49,92.87,93.7,640205.0,93.5032,2023-05-31 04:00:00,12713
103,SONY,96.19,97.045,96.16,96.66,968760.0,96.6869,2023-06-01 04:00:00,17058
104,SONY,98.05,98.86,97.93,98.01,676442.0,98.0954,2023-06-02 04:00:00,13099
105,SONY,98.99,99.1,98.3901,98.5,818603.0,98.6386,2023-06-05 04:00:00,13854
106,SONY,99.0,100.24,98.7899,100.05,754248.0,99.7408,2023-06-06 04:00:00,14041
107,SONY,98.3,98.8,97.63,97.68,736134.0,97.9774,2023-06-07 04:00:00,14076
108,SONY,96.21,97.41,95.92,97.41,686276.0,96.9059,2023-06-08 04:00:00,15306
109,SONY,98.54,99.0475,98.0,98.44,516772.0,98.5407,2023-06-09 04:00:00,11872
110,SONY,98.81,99.55,98.5,99.25,1194015.0,99.1876,2023-06-12 04:00:00,15501
111,SONY,100.23,100.94,100.04,100.19,620743.0,100.3864,2023-06-13 04:00:00,13370
112,SONY,100.71,100.89,99.51,99.87,515116.0,100.1425,2023-06-14 04:00:00,12523
113,SONY,98.79,99.75,98.55,99.67,590278.0,99.3205,2023-06-15 04:00:00,12172
114,SONY,98.48,98.66,97.46,97.57,778098.0,97.9613,2023-06-16 04:00:00,15737
115,SONY,97.0,97.01,96.21,96.31,509827.0,96.4205,2023-06-20 04:00:00,12630
116,SONY,95.09,95.43,94.27,94.68,559675.0,94.7147,2023-06-21 04:00:00,11371
117,SONY,93.59,94.07,93.3,93.82,701982.0,93.7173,2023-06-22 04:00:00,12558
118,SONY,91.24,91.49,90.8,91.14,1150114.0,91.2146,2023-06-23 04:00:00,19347
119,SONY,90.63,91.16,90.19,90.37,694704.0,90.5965,2023-06-26 04:00:00,15205
120,SONY,89.8,90.38,89.22,90.07,1313828.0,89.9477,2023-06-27 04:00:00,19209
121,SONY,90.7,91.55,90.56,91.29,807916.0,91.215,2023-06-28 04:00:00,15985
122,SONY,90.11,90.3,89.58,89.96,664706.0,89.9311,2023-06-29 04:00:00,14614
123,SONY,90.05,90.7914,90.0,90.04,939414.0,90.3389,2023-06-30 04:00:00,15249
124,SONY,91.54,92.095,91.34,91.55,759687.0,91.7239,2023-07-03 04:00:00,14067
125,SONY,91.43,91.77,91.13,91.43,835308.0,91.4692,2023-07-05 04:00:00,14763
126,SONY,90.66,90.84,89.84,90.49,759767.0,90.3697,2023-07-06 04:00:00,15782
127,SONY,90.64,91.86,90.64,91.04,726085.0,91.3733,2023-07-07 04:00:00,13117
128,SONY,90.4,90.87,90.4,90.73,672321.0,90.6367,2023-07-10 04:00:00,12835
129,SONY,89.92,90.4,89.29,89.64,1363440.0,89.6919,2023-07-11 04:00:00,23082
130,SONY,89.65,92.53,89.64,91.24,2313737.0,91.2096,2023-07-12 04:00:00,29304
131,SONY,93.66,94.13,93.38,93.81,1503894.0,93.7417,2023-07-13 04:00:00,21557
132,SONY,93.22,93.22,92.335,92.39,915738.0,92.7007,2023-07-14 04:00:00,16637
133,SONY,92.53,94.2899,92.37,93.57,770380.0,93.6518,2023-07-17 04:00:00,14099
134,SONY,94.86,95.42,94.58,95.1,887237.0,94.999,2023-07-18 04:00:00,17034
135,SONY,94.76,95.0,94.13,94.57,539206.0,94.506,2023-07-19 04:00:00,12799
136,SONY,93.29,93.86,93.18,93.25,650827.0,93.4586,2023-07-20 04:00:00,13330
137,SONY,93.82,93.96,93.28,93.39,425775.0,93.5524,2023-07-21 04:00:00,9569
138,SONY,93.39,93.92,93.255,93.66,386298.0,93.6983,2023-07-24 04:00:00,8822
139,SONY,93.03,93.79,92.8,93.69,437403.0,93.4134,2023-07-25 04:00:00,9769
140,SONY,93.39,94.07,93.2,93.74,374860.0,93.5773,2023-07-26 04:00:00,8840
141,SONY,94.7,95.19,93.59,93.76,686164.0,94.3075,2023-07-27 04:00:00,12709
142,SONY,93.77,94.174,93.4,93.47,680262.0,93.762,2023-07-28 04:00:00,12932
143,SONY,93.81,94.36,93.38,93.6,644887.0,93.7119,2023-07-31 04:00:00,12988
144,SONY,93.5,93.92,93.28,93.49,436011.0,93.5201,2023-08-01 04:00:00,10750
145,SONY,91.89,92.175,90.91,91.07,667582.0,91.2883,2023-08-02 04:00:00,13965
146,SONY,90.02,90.1972,89.52,90.03,572352.0,89.9297,2023-08-03 04:00:00,11776
147,SONY,91.07,91.3628,90.06,90.19,558658.0,90.6542,2023-08-04 04:00:00,13482
148,SONY,90.66,90.725,90.12,90.44,653803.0,90.3867,2023-08-07 04:00:00,20211
149,SONY,90.09,90.58,89.42,89.82,907001.0,89.7716,2023-08-08 04:00:00,17524
150,SONY,90.31,90.31,82.695,83.85,2456764.0,84.1497,2023-08-09 04:00:00,40202
151,SONY,86.95,87.0,85.31,85.44,1609789.0,85.8571,2023-08-10 04:00:00,24444
152,SONY,85.16,85.79,84.63,85.58,775739.0,85.4328,2023-08-11 04:00:00,16152
153,SONY,83.58,84.0,82.9,83.97,1146377.0,83.7829,2023-08-14 04:00:00,14327
154,SONY,83.42,83.72,82.92,83.53,570359.0,83.4074,2023-08-15 04:00:00,12036
155,SONY,82.73,83.185,82.145,82.24,894503.0,82.6474,2023-08-16 04:00:00,14106
